,Order Id,Column,Timestamp,Size,Price,Fees,Side
151,151,JBMA.NS,2017-11-15,8.0,96.0199966430664,0.0,Sell
152,152,VTL.NS,2017-11-15,3.0,250.0,0.0,Sell
153,153,APARINDS.NS,2017-11-15,1.0,750.0,0.0,Sell
154,154,YESBANK.NS,2017-11-15,2.0,302.79998779296875,0.0,Sell
155,155,DCMSHRIRAM.NS,2017-11-15,1.0,581.0999755859375,0.0,Sell
156,156,GLENMARK.NS,2017-11-15,1.0,580.0499877929688,0.0,Sell
157,157,CHOLAHLDNG.NS,2017-11-15,1.0,560.2000122070312,0.0,Sell
158,158,ZEEL.NS,2017-11-15,1.0,541.0,0.0,Sell
159,159,NMDC.NS,2017-11-15,2.0,32.103633880615234,0.0,Buy
160,160,CHAMBLFERT.NS,2017-11-15,1.0,139.8000030517578,0.0,Buy
161,161,JYOTHYLAB.NS,2017-11-15,1.0,168.22500610351562,0.0,Buy
162,162,JSWSTEEL.NS,2017-11-15,1.0,264.1000061035156,0.0,Buy
163,163,TRIDENT.NS,2017-11-15,32.0,8.350000381469727,0.0,Buy
164,164,VOLTAS.NS,2017-11-15,1.0,604.5499877929688,0.0,Buy
165,165,GRAPHITE.NS,2017-11-15,1.0,610.0,0.0,Buy
166,166,EMAMILTD.NS,2017-11-15,1.0,621.5,0.0,Buy
167,167,NAVINFLUOR.NS,2017-11-15,1.0,689.25,0.0,Buy
168,168,RAMCOCEM.NS,2017-11-15,1.0,689.9500122070312,0.0,Buy
169,169,M&M.NS,2017-11-15,1.0,714.5,0.0,Buy
170,170,ASAHIINDIA.NS,2017-11-15,2.0,369.0,0.0,Buy
171,171,TITAN.NS,2017-11-15,1.0,745.0,0.0,Buy
172,172,PIDILITIND.NS,2017-11-15,1.0,813.7000122070312,0.0,Buy
173,173,ADANIPORTS.NS,2017-11-15,2.0,410.0,0.0,Buy
174,174,CHENNPETRO.NS,2017-11-15,2.0,420.1000061035156,0.0,Buy
175,175,BHARTIARTL.NS,2017-11-15,2.0,448.82611083984375,0.0,Buy
176,176,VEDL.NS,2017-11-15,3.0,306.25,0.0,Buy
177,177,HINDZINC.NS,2017-11-15,3.0,307.0,0.0,Buy
178,178,NAUKRI.NS,2017-11-15,4.0,234.3800048828125,0.0,Buy
179,179,MCX.NS,2017-11-15,1.0,950.0,0.0,Buy
180,180,LTIM.NS,2017-11-15,1.0,954.0,0.0,Buy
181,181,BALRAMCHIN.NS,2017-11-15,6.0,160.0,0.0,Buy
182,182,TECHM.NS,2017-11-15,2.0,486.0,0.0,Buy
183,183,OLECTRA.NS,2017-11-15,5.0,194.75,0.0,Buy
184,184,SBIN.NS,2017-11-15,3.0,328.0,0.0,Buy
185,185,CROMPTON.NS,2017-11-15,4.0,247.0,0.0,Buy
186,186,UPL.NS,2017-11-15,2.0,497.6666564941406,0.0,Buy
187,187,THERMAX.NS,2017-11-15,1.0,1000.0,0.0,Buy
188,188,MRPL.NS,2017-11-15,8.0,125.0,0.0,Buy
189,189,COROMANDEL.NS,2017-11-15,2.0,500.0499877929687,0.0,Buy
190,190,BAJAJFINSV.NS,2017-11-15,2.0,502.4849853515625,0.0,Buy
191,191,JSL.NS,2017-11-15,9.0,112.0500030517578,0.0,Buy
192,192,CESC.NS,2017-11-15,11.0,92.06359100341795,0.0,Buy
193,193,HAVELLS.NS,2017-11-15,2.0,512.0999755859375,0.0,Buy
194,194,NTPC.NS,2017-11-15,7.0,147.0416717529297,0.0,Buy
195,195,ABFRL.NS,2017-11-15,7.0,147.8560791015625,0.0,Buy
196,196,PETRONET.NS,2017-11-15,4.0,258.8999938964844,0.0,Buy
197,197,HINDALCO.NS,2017-11-15,4.0,259.5,0.0,Buy
198,198,IOC.NS,2017-11-15,8.0,129.96665954589844,0.0,Buy
199,199,MOTHERSON.NS,2017-11-15,16.0,65.02558898925781,0.0,Buy
